fitness,benefit,cost,litterSize,numLost,numFixed,numTotal,percentFixed
-0.006,0.199,0.1,6,1013752,838,1014590,8.259493982791078e-4
-0.006,0.199,0.1,8,1013466,1120,1014586,0.0011038985359545666
-0.006,0.199,0.1,10,1013357,1217,1014574,0.0011995182214407229
-0.006,0.2,0.1,2,1014566,4,1014570,3.9425569453068785e-6
-0.006,0.2,0.1,4,1013777,793,1014570,7.816119144070888e-4
-0.006,0.2,0.1,6,1013221,1349,1014570,0.0013296273298047448
-0.006,0.2,0.1,8,1012851,1718,1014569,0.0016933298770216714
-0.006,0.2,0.1,10,1012701,1869,1014570,0.001842159732694639
-0.006,0.201,0.1,2,1014564,6,1014570,5.913835417960318e-6
-0.006,0.201,0.1,4,1013325,1245,1014570,0.0012271208492267661
-0.006,0.201,0.1,6,1012398,2168,1014566,0.002136874289104898
-0.006,0.201,0.1,8,1012091,2469,1014560,0.0024335672606844347
-0.006,0.201,0.1,10,1011896,2664,1014560,0.00262576880618199
0,0.196,0.1,2,999993,7,1000000,7e-6
0,0.196,0.1,4,999954,46,1000000,4.6e-5
0,0.196,0.1,6,999909,91,1000000,9.1e-5
0,0.196,0.1,8,999851,149,1000000,1.49e-4
0,0.196,0.1,10,999833,167,1000000,1.67e-4
0,0.197,0.1,2,999990,10,1000000,1e-5
0,0.197,0.1,4,999813,187,1000000,1.87e-4
0,0.197,0.1,6,999728,272,1000000,2.72e-4
0,0.197,0.1,8,999640,360,1000000,3.6e-4
0,0.197,0.1,10,999619,381,1000000,3.81e-4
0,0.198,0.1,2,1000054,6,1000060,5.999640021598704e-6
0,0.198,0.1,4,999622,438,1000060,4.3797372157670537e-4
0,0.198,0.1,6,999483,575,1000058,5.749666519341878e-4
0,0.198,0.1,8,999428,622,1000050,6.219689015549223e-4
0,0.198,0.1,10,999307,743,1000050,7.429628518574071e-4
0,0.199,0.1,2,1000035,7,1000042,6.999706012347481e-6
0,0.199,0.1,4,999217,823,1000040,8.229670813167474e-4
0,0.199,0.1,6,998952,1088,1000040,0.0010879564817407304
0,0.199,0.1,8,998861,1179,1000040,0.0011789528418863246
0,0.199,0.1,10,998833,1203,1000036,0.0012029566935590319
0,0.2,0.1,2,1000017,9,1000026,8.999766006083841e-6
0,0.2,0.1,4,998583,1437,1000020,0.0014369712605747885
0,0.2,0.1,6,998287,1733,1000020,0.001732965340693186
0,0.2,0.1,8,998188,1832,1000020,0.0018319633607327853
0,0.2,0.1,10,998070,1946,1000016,0.001945968864498168
0,0.201,0.1,2,1000007,3,1000010,2.999970000299997e-6
0,0.201,0.1,4,997884,2126,1000010,0.002125978740212598
0,0.201,0.1,6,997620,2390,1000010,0.0023899761002389975
0,0.201,0.1,8,997383,2624,1000007,0.0026239816321285752
0,0.201,0.1,10,997340,2660,1000000,0.00266
