fitness,benefit,cost,litterSize,numLost,numFixed,numTotal,percentFixed
-0.01,0.199,0.1,4,1132656,154,1132810,1.3594512760304022e-4
-0.01,0.199,0.1,6,1132663,127,1132790,1.1211257161521553e-4
-0.01,0.199,0.1,8,1132653,117,1132770,1.0328663365025557e-4
-0.01,0.199,0.1,10,1132635,85,1132720,7.504061021258563e-5
-0.01,0.2,0.1,2,1132843,7,1132850,6.1791057951185065e-6
-0.01,0.2,0.1,4,1132623,187,1132810,1.6507622637512029e-4
-0.01,0.2,0.1,6,1132637,153,1132790,1.3506475163092894e-4
-0.01,0.2,0.1,8,1132672,98,1132770,8.651359057884654e-5
-0.01,0.2,0.1,10,1132617,103,1132720,9.093156296348612e-5
-0.01,0.201,0.1,2,1132843,7,1132850,6.1791057951185065e-6
-0.01,0.201,0.1,4,1132560,250,1132810,2.2069014221272765e-4
-0.01,0.201,0.1,6,1132662,128,1132790,1.1299534776966605e-4
-0.01,0.201,0.1,8,1132641,129,1132770,1.1388013453746126e-4
-0.01,0.201,0.1,10,1132623,97,1132720,8.563457871318596e-5
-0.01,0.21,0.1,2,1000005,5,1000010,4.999950000499995e-6
-0.01,0.21,0.1,4,999287,723,1000010,7.229927700722993e-4
-0.01,0.21,0.1,6,999704,306,1000010,3.059969400305997e-4
-0.01,0.21,0.1,8,999807,203,1000010,2.029979700202998e-4
-0.01,0.21,0.1,10,999855,155,1000010,1.5499845001549985e-4
-0.008,0,0,2,999789,261,1000050,2.609869506524674e-4
-0.008,0,0,4,999882,168,1000050,1.67991600419979e-4
-0.008,0,0,6,999919,131,1000050,1.3099345032748362e-4
-0.008,0,0,8,999943,107,1000050,1.0699465026748663e-4
-0.008,0,0,10,999962,88,1000050,8.7995600219989e-5
-0.008,0.19,0.1,2,1005015,5,1005020,4.9750253726294005e-6
-0.008,0.19,0.1,4,1004989,21,1005010,2.089531447448284e-5
-0.008,0.19,0.1,6,1004937,43,1004980,4.278692113275886e-5
-0.008,0.19,0.1,8,1004917,43,1004960,4.278777264766757e-5
-0.008,0.19,0.1,10,1004903,37,1004940,3.68181184946365e-5
-0.008,0.196,0.1,2,1132846,4,1132850,3.530917597210575e-6
-0.008,0.196,0.1,4,1132715,88,1132803,7.76834100898391e-5
-0.008,0.196,0.1,6,1132688,102,1132790,9.004316775395263e-5
-0.008,0.196,0.1,8,1132684,86,1132770,7.592008969164085e-5
-0.008,0.196,0.1,10,1132646,74,1132720,6.532947242036866e-5
-0.008,0.197,0.1,2,1132843,7,1132850,6.1791057951185065e-6
-0.008,0.197,0.1,4,1132671,129,1132800,1.1387711864406779e-4
-0.008,0.197,0.1,6,1132682,108,1132790,9.533982468065573e-5
-0.008,0.197,0.1,8,1132686,84,1132770,7.41545062104399e-5
-0.008,0.197,0.1,10,1132646,74,1132720,6.532947242036866e-5
-0.008,0.198,0.1,2,1132847,3,1132850,2.6481881979079314e-6
-0.008,0.198,0.1,4,1132667,133,1132800,1.1740819209039548e-4
-0.008,0.198,0.1,6,1132675,115,1132790,1.0151925776180934e-4
-0.008,0.198,0.1,8,1132669,101,1132770,8.916196580064798e-5
-0.008,0.198,0.1,10,1132636,84,1132720,7.415777950420228e-5
-0.008,0.199,0.1,2,1132842,8,1132850,7.06183519442115e-6
-0.008,0.199,0.1,4,1132654,146,1132800,1.2888418079096044e-4
-0.008,0.199,0.1,6,1132642,148,1132790,1.3065087085867635e-4
-0.008,0.199,0.1,8,1132673,97,1132770,8.563079883824607e-5
-0.008,0.199,0.1,10,1132616,104,1132720,9.181439367186949e-5
-0.008,0.2,0.1,2,1132844,6,1132850,5.296376395815863e-6
-0.008,0.2,0.1,4,1132603,197,1132800,1.739053672316384e-4
-0.008,0.2,0.1,6,1132655,135,1132790,1.1917478085081965e-4
-0.008,0.2,0.1,8,1132669,101,1132770,8.916196580064798e-5
-0.008,0.2,0.1,10,1132622,98,1132720,8.651740942156932e-5
-0.008,0.201,0.1,2,1132844,6,1132850,5.296376395815863e-6
-0.008,0.201,0.1,4,1132563,237,1132800,2.0921610169491526e-4
-0.008,0.201,0.1,6,1132637,153,1132790,1.3506475163092894e-4
-0.008,0.201,0.1,8,1132623,140,1132763,1.2359160742361818e-4
-0.008,0.201,0.1,10,1132607,113,1132720,9.975987004731973e-5
-0.008,0.21,0.1,2,1000004,6,1000010,5.999940000599994e-6
-0.008,0.21,0.1,4,999340,670,1000010,6.699933000669994e-4
-0.008,0.21,0.1,6,999685,325,1000010,3.249967500324997e-4
-0.008,0.21,0.1,8,999798,212,1000010,2.1199788002119977e-4
-0.008,0.21,0.1,10,999841,169,1000010,1.6899831001689983e-4
-0.006,0,0,2,999775,273,1000048,2.729868966289618e-4
-0.006,0,0,4,999865,185,1000050,0.00018499075046247689
-0.006,0,0,6,999940,110,1000050,1.0999450027498625e-4
-0.006,0,0,8,999946,104,1000050,1.03994800259987e-4
-0.006,0,0,10,999959,91,1000050,9.099545022748862e-5
-0.006,0.19,0.1,2,1005015,5,1005020,4.9750253726294005e-6
-0.006,0.19,0.1,4,1004980,30,1005010,2.9850449249261202e-5
-0.006,0.19,0.1,6,1004944,36,1004980,3.582160839021672e-5
-0.006,0.19,0.1,8,1004899,52,1004951,5.174381636517602e-5
-0.006,0.19,0.1,10,1004884,46,1004930,4.5774332540574964e-5
-0.006,0.196,0.1,2,1132845,5,1132850,4.413646996513219e-6
-0.006,0.196,0.1,4,1132693,107,1132800,9.445621468926554e-5
-0.006,0.196,0.1,6,1132722,68,1132790,6.002877850263509e-5
-0.006,0.196,0.1,8,1132680,80,1132760,7.062396271054769e-5
-0.006,0.196,0.1,10,1132635,85,1132720,7.504061021258563e-5
-0.006,0.197,0.1,2,1132836,4,1132840,3.5309487659334063e-6
-0.006,0.197,0.1,4,1132680,120,1132800,1.059322033898305e-4
-0.006,0.197,0.1,6,1132669,121,1132790,1.0681591468851243e-4
-0.006,0.197,0.1,8,1132661,99,1132760,8.739715385430277e-5
-0.006,0.197,0.1,10,1132626,90,1132716,7.945504433591475e-5
-0.006,0.198,0.1,2,1132823,17,1132840,1.5006532255216977e-5
-0.006,0.198,0.1,4,1132633,167,1132800,1.474223163841808e-4
-0.006,0.198,0.1,6,1132677,113,1132790,9.975370545290831e-5
-0.006,0.198,0.1,8,1132666,94,1132760,8.298315618489354e-5
-0.006,0.198,0.1,10,1132617,93,1132710,8.21039807188071e-5
-0.006,0.199,0.1,2,1132828,4,1132832,3.5309737013078727e-6
-0.006,0.199,0.1,4,1132637,163,1132800,1.438912429378531e-4
-0.006,0.199,0.1,6,1132684,106,1132790,9.357427237175469e-5
-0.006,0.199,0.1,8,1132659,101,1132760,8.916275292206646e-5
-0.006,0.199,0.1,10,1132624,86,1132710,7.592411120233776e-5
-0.006,0.2,0.1,2,1132825,5,1132830,4.413724919008148e-6
